recno,KOI,N,tn,O-C,e_O-C,f_O-C,TDV,e_TDV,f_TDV,TPV,e_TPV,f_TPV,Out,Over
51113,377.01,0,77.493149,-350.7,1.0, ,-0.017,0.01, ,-0.016,0.015, ,0,0
51114,377.01,1,96.739436,-368.3,1.1, ,-0.015,0.011, ,-0.001,0.015, ,0,0
51115,377.01,2,115.985722,-520.0,1.1,*,0.0,0.01,*,0.0,0.015,*,35,0
51116,377.01,3,135.232009,-398.5,1.1, ,-0.009,0.011, ,0.006,0.015, ,0,0
51117,377.01,4,154.478295,-413.6,1.1, ,-0.005,0.011, ,-0.043,0.016, ,0,0
51118,377.01,5,173.724582,-417.2,2.1, ,-0.003,0.019, ,-0.025,0.016, ,32,0
51119,377.01,7,212.217155,-417.0,1.1, ,0.002,0.012, ,-0.039,0.016, ,0,0
51120,377.01,8,231.463441,-418.4,1.0, ,-0.009,0.01, ,0.016,0.015, ,0,0
51121,377.01,9,250.709728,-402.4,1.1, ,-0.014,0.011, ,-0.022,0.015, ,0,0
51122,377.01,10,269.956014,-394.4,1.1, ,-0.011,0.011, ,-0.048,0.017, ,0,0
51123,377.01,11,289.202301,-369.0,1.1, ,-0.013,0.011, ,0.024,0.015, ,0,0
51124,377.01,12,308.448587,-352.3,1.0, ,-0.016,0.01, ,0.006,0.015, ,0,0
51125,377.01,13,327.694874,-318.4,1.0, ,-0.001,0.0098, ,0.061,0.014, ,0,0
51126,377.01,14,346.94116,-293.5,1.0, ,-0.0057,0.0094, ,0.028,0.014, ,0,0
51127,377.01,15,366.187447,-249.1,1.1, ,0.009,0.011, ,-0.022,0.017, ,0,0
51128,377.01,16,385.433733,-216.7,1.0, ,-0.015,0.01, ,-0.002,0.015, ,0,0
51129,377.01,17,404.68002,-167.9,1.0, ,-9.0E-4,0.0099, ,-0.009,0.015, ,0,0
51130,377.01,18,423.926306,-130.19,0.97, ,0.0027,0.0091, ,0.039,0.014, ,0,0
51131,377.01,19,443.172593,-78.6,1.1, ,-0.007,0.011, ,-0.006,0.015, ,0,0
51132,377.01,20,462.418879,-33.8,1.1, ,0.001,0.01, ,-0.014,0.015, ,0,0
51133,377.01,21,481.665166,21.9,1.1, ,0.0,0.01, ,-0.044,0.016, ,0,0
51134,377.01,22,500.911452,65.9,1.1, ,-0.011,0.01, ,-0.022,0.015, ,0,0
51135,377.01,23,520.157739,118.6,1.0, ,-0.02,0.01, ,0.034,0.015, ,0,0
51136,377.01,24,539.404025,167.0,1.0, ,-0.011,0.01, ,0.006,0.015, ,0,0
51137,377.01,25,558.650312,220.9,1.1, ,-0.014,0.01, ,-0.028,0.015, ,0,0
51138,377.01,26,577.896598,262.2,1.2, ,0.02,0.012, ,-0.012,0.015, ,0,0
51139,377.01,27,597.142885,312.3,1.0, ,-0.0103,0.0098, ,0.001,0.015, ,0,0
51140,377.01,28,616.389171,355.6,1.1, ,-0.009,0.011, ,0.011,0.015, ,0,0
51141,377.01,29,635.635458,397.1,1.0, ,0.0088,0.0096, ,0.028,0.014, ,0,0
51142,377.01,31,674.128031,463.9,1.0, ,-0.0053,0.0099, ,0.007,0.015, ,0,0
51143,377.01,32,693.374317,496.9,1.0, ,-0.0221,0.01, ,-0.008,0.016, ,0,0
51144,377.01,33,712.620604,520.0,1.0, ,0.002,0.01, ,0.078,0.014, ,0,0
51145,377.01,34,731.86689,543.7,1.1, ,-0.008,0.011, ,-0.018,0.015, ,0,0
51146,377.01,35,751.113177,554.5,1.1, ,0.003,0.011, ,0.036,0.015, ,0,0
51147,377.01,36,770.359463,566.4,1.1, ,-0.003,0.011, ,-0.014,0.015, ,0,0
51148,377.01,37,789.60575,570.8,1.1, ,0.004,0.01, ,-0.008,0.015, ,0,0
51149,377.01,38,808.852036,572.3,1.0, ,0.001,0.01, ,0.023,0.015, ,0,0
51150,377.01,39,828.098322,566.2,1.1, ,0.0,0.011, ,-0.043,0.016, ,0,0
51151,377.01,40,847.344609,558.2,1.0, ,0.0097,0.0096, ,0.003,0.015, ,0,0
51152,377.01,41,866.590895,546.0,1.1, ,-0.034,0.011, ,0.027,0.015, ,0,0
51153,377.01,42,885.837182,521.26,0.94, ,0.0918,0.0083, ,0.36,0.011, ,48,1
51154,377.01,43,905.083468,503.0,1.1, ,-0.004,0.011, ,-0.028,0.015, ,0,0
