pl_name,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,pl_ratror,default_flag
"Kepler-9 c",,,,,,,,0
"Kepler-9 b",19.24300000000,,43.50000000,0.13686562,,1.000000,,0
"Kepler-9 c",38.90720200000,0.2290000000,,,0.000000,1.053000,0.07440000,0
"Kepler-9 b",19.27082403100,0.1423000000,,,0.000000,1.034000,0.07627500,0
"Kepler-9 c",38.90787517000,0.2273000000,,,0.000000,1.034000,0.07641300,0
"Kepler-9 c",38.90787517000,0.2265700000,,,,1.024000,0.07641300,0
"Kepler-9 c",38.91000000000,0.2250000000,54.34700000,0.17100000,0.130000,1.030000,0.07708000,0
"Kepler-9 b",19.22590000000,,43.98767200,0.13840000,0.063600,1.034000,0.07418100,0
"Kepler-9 c",38.90787517000,,,,,1.030000,,0
"Kepler-9 b",19.24628649000,,,,,1.030000,,0
"Kepler-9 d",1.59295975000,0.0269056221,8.41466053,0.02647300,0.000000,1.024000,,0
"Kepler-9 b",19.27082403000,0.1417881795,25.90393345,0.08149941,0.000000,1.024000,,0
"Kepler-9 b",19.23876000000,,43.54100000,0.13700000,0.058000,1.030000,,0
"Kepler-9 b",19.27082584300,,,,,1.030000,,0
"Kepler-9 b",19.27082403100,0.1418400000,,,,1.024000,0.07627500,0
"Kepler-9 d",1.59295975000,0.0270000000,,,0.000000,1.034000,0.01420900,0
"Kepler-9 c",38.98530000000,0.2270000000,29.90000000,0.09407545,0.066910,1.022000,0.07560000,1
"Kepler-9 b",19.27393800000,0.1430000000,,,0.000000,1.053000,0.07502000,0
"Kepler-9 b",19.24000000000,0.1400000000,80.09000000,0.25200000,0.150000,1.030000,0.07885000,0
"Kepler-9 c",38.98610000000,,29.87500000,0.09400000,0.068000,1.030000,,0
"Kepler-9 b",,,,,,,,0
"Kepler-9 b",19.27082403100,,,,,1.040000,0.07627500,0
"Kepler-9 b",19.23800000000,,2175.00000000,6.84400000,,1.030000,,0
"Kepler-9 b",19.27082403100,0.1423000000,,,0.000000,1.034000,0.07627500,0
"Kepler-9 d",1.59295975000,0.0270000000,,,0.000000,1.034000,0.01420900,0
"Kepler-9 c",38.90787517000,0.2264982470,27.28726784,0.08584647,0.000000,1.024000,,0
"Kepler-9 d",1.59297160000,0.0270000000,,,0.000000,1.053000,0.01515000,0
"Kepler-9 b",19.23891000000,0.1430000000,43.40000000,0.13655099,0.060900,1.022000,0.07760000,1
"Kepler-9 c",38.94980851000,,,,,1.030000,,0
"Kepler-9 b",19.27082403100,0.1423000000,,,0.000000,1.034000,0.07627500,0
"Kepler-9 c",38.98800000000,,509.70000000,1.60400000,,1.030000,,0
"Kepler-9 d",1.59295975000,,,,,1.030000,,0
"Kepler-9 b",,,,,,,,0
"Kepler-9 b",19.27082584300,0.1423000000,,,0.000000,1.034000,0.07418600,0
"Kepler-9 d",,,,,,,,0
"Kepler-9 d",1.59295975000,0.0269100000,,,,1.024000,0.01420900,0
"Kepler-9 c",38.96900000000,,29.90000000,0.09407545,,1.000000,,0
"Kepler-9 c",38.90787517000,0.2273000000,,,0.000000,1.034000,0.07641300,0
"Kepler-9 d",1.59285100000,0.0273000000,,,,1.070000,0.01470000,1

